rank,rating,trainer_name,blog_url,pokemon1_name,pokemon1_item,pokemon1_nature,pokemon1_ability,pokemon1_Ttype,pokemon1_moves,pokemon1_effort,pokemon2_name,pokemon2_item,pokemon2_nature,pokemon2_ability,pokemon2_Ttype,pokemon2_moves,pokemon2_effort,pokemon3_name,pokemon3_item,pokemon3_nature,pokemon3_ability,pokemon3_Ttype,pokemon3_moves,pokemon3_effort,pokemon4_name,pokemon4_item,pokemon4_nature,pokemon4_ability,pokemon4_Ttype,pokemon4_moves,pokemon4_effort,pokemon5_name,pokemon5_item,pokemon5_nature,pokemon5_ability,pokemon5_Ttype,pokemon5_moves,pokemon5_effort,pokemon6_name,pokemon6_item,pokemon6_nature,pokemon6_ability,pokemon6_Ttype,pokemon6_moves,pokemon6_effort
43,2005.784,アオイ,https://m4hkmqy0esbsqvb.hatenablog.com/entry/2025/12/01/214626,コライドン,こだわりハチマキ,ようき,ひひいろのこどう,ほのお,"インファイト, フレアドライブ, げきりん, とんぼがえり","0, 0, 0, 0, 0, 0",カイオーガ,こだわりスカーフ,おくびょう,あめふらし,ゴースト,"しおふき, なみのり, れいとうビーム, かみなり","0, 0, 0, 0, 0, 0",オーロンゲ,ゴツゴツメット,わんぱく,いたずらごころ,ほのお,"じゃれつく, ふいうち, でんじは, すてゼリフ","0, 0, 0, 0, 0, 0",ランドロス(れいじゅう),とつげきチョッキ,ゆうかん,いかく,くさ,"じしん, とんぼがえり, くさむすび, いわなだれ","0, 0, 0, 0, 0, 0",キラフロル,パワフルハーブ,ひかえめ,どくげしょう,フェアリー,"メテオビーム, ヘドロウェーブ, マジカルシャイン, ニードルガード","0, 0, 0, 0, 0, 0",パオジアン,きあいのタスキ,ようき,わざわいのつるぎ,じめん,"つららおとし, テラバースト, せいなるつるぎ, ふいうち","0, 0, 0, 0, 0, 0"
57,1992.075,リチャード,https://rei-poke0728new.hatenablog.com/entry/2025/12/01/024949,ザシアン(けんのおう),くちたけん,いじっぱり,ふとうのけん,ノーマル,"きょじゅうざん, インファイト, ワイルドボルト, つるぎのまい","172, 236, 4, 0, 12, 84",バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,じめん,"アストラルビット, くさむすび, テラバースト, わるだくみ","0, 0, 4, 252, 0, 252",ディンルー,オボンのみ,わんぱく,わざわいのうつわ,でんき,"じしん, カタストロフィ, ステルスロック, ふきとばし","212, 4, 4, 0, 220, 68",パオジアン,せいれいプレート,いじっぱり,わざわいのつるぎ,ほのお,"つららおとし, かみくだく, ふいうち, つるぎのまい","12, 252, 244, 0, 0, 0",カイリュー,こだわりハチマキ,いじっぱり,マルチスケイル,ひこう,"げきりん, テラバースト, しんそく, ほのおのパンチ","0, 252, 0, 0, 0, 252",ウーラオス(れんげき),こだわりスカーフ,いじっぱり,ふかしのこぶし,みず,"すいりゅうれんだ, インファイト, アイススピナー, とんぼがえり","0, 252, 4, 0, 0, 252"
60,1989.016,キタイ,https://kitai-nao98.hatenablog.com/entry/2025/12/01/104006,ミライドン,こだわりスカーフ,ひかえめ,ハドロンエンジン,でんき,"イナズマドライブ, りゅうせいぐん, ボルトチェンジ, とんぼがえり","124, 0, 28, 196, 12, 148",アルセウス,シルクのスカーフ,いじっぱり,マルチタイプ,ノーマル,"しんそく, じしん, つるぎのまい, じこさいせい","92, 236, 4, 0, 52, 124",ウーラオス(れんげき),こだわりハチマキ,いじっぱり,ふかしのこぶし,ノーマル,"すいりゅうれんだ, インファイト, からげんき, アクアジェット","124, 236, 148, 0, 0, 0",ランドロス(れいじゅう),とつげきチョッキ,しんちょう,いかく,ノーマル,"じしん, かみくだく, とんぼがえり, じわれ","212, 60, 0, 0, 236, 0",テツノカシラ,こだわりメガネ,ひかえめ,クォークチャージ,はがね,"タキオンカッター, サイコショック, きあいだま, ボルトチェンジ","76, 0, 20, 220, 20, 172",パオジアン,きあいのタスキ,ようき,わざわいのつるぎ,ゴースト,"つららおとし, かみくだく, せいなるつるぎ, こおりのつぶて","0, 252, 4, 0, 0, 252"
65,1985.269,たかゆみ,https://takayumipkmn.hatenablog.com/entry/2025/12/02/004136,アルセウス,たべのこし,いじっぱり,マルチタイプ,ノーマル,"しんそく, じしん, りゅうのまい, じこさいせい","0, 0, 0, 0, 0, 0",バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,フェアリー,"アストラルビット, ドレインキッス, くさむすび, ちょうはつ","0, 0, 0, 0, 0, 0",ディンルー,たべのこし,わんぱく,わざわいのうつわ,どく,"カタストロフィ, じしん, まきびし, ふきとばし","0, 0, 0, 0, 0, 0",ウーラオス(れんげき),こだわりハチマキ,いじっぱり,ふかしのこぶし,ノーマル,"すいりゅうれんだ, インファイト, とんぼがえり, からげんき","0, 0, 0, 0, 0, 0",オーガポン(いしずえ),いしずえのめん,ようき,がんじょう,いわ,"ツタこんぼう, ウッドホーン, はたきおとす, アンコール","0, 0, 0, 0, 0, 0",テツノワダチ,ブーストエナジー,ようき,クォークチャージ,みず,"じしん, はたきおとす, こうそくスピン, ステルスロック","0, 0, 0, 0, 0, 0"
73,1982.639,ユウキ,https://tusshii-poke.hatenadiary.jp/entry/2025/12/01/173419,ミライドン,こだわりスカーフ,ひかえめ,ハドロンエンジン,でんき,"イナズマドライブ, りゅうせいぐん, とんぼがえり, ボルトチェンジ","236, 0, 4, 252, 12, 4",バドレックス(はくば),たべのこし,いじっぱり,じんばいったい,みず,"ブリザードランス, トリックルーム, のろい, アンコール","252, 196, 0, 0, 60, 0",ガチグマ,かえんだま,いじっぱり,こんじょう,ほのお,"からげんき, じしん, ほえる, まもる","140, 252, 4, 0, 92, 20",テツノワダチ,ブーストエナジー,ようき,クォークチャージ,じめん,"じしん, はたきおとす, こうそくスピン, ステルスロック","204, 164, 4, 0, 4, 132",ウーラオス(れんげき),きあいのタスキ,いじっぱり,ふかしのこぶし,ゴースト,"すいりゅうれんだ, インファイト, アクアジェット, ちょうはつ","0, 252, 4, 0, 0, 252",ミミッキュ,ゴツゴツメット,いじっぱり,ばけのかわ,ステラ,"じゃれつく, かげうち, のろい, トリックルーム","100, 156, 252, 0, 0, 0"
84,1973.612,もぶ,https://moriumapoke1.hatenablog.com/entry/2025/12/01/134423,バドレックス(こくば),こだわりメガネ,おくびょう,じんばいったい,じめん,"アストラルビット, サイコキネシス, くさむすび, テラバースト","60, 0, 4, 180, 12, 252",アルセウス,あおぞらプレート,いじっぱり,マルチタイプ,ひこう,"テラバースト, ちょうはつ, りゅうのまい, じこさいせい","220, 172, 4, 0, 4, 108",キラフロル,きあいのタスキ,おくびょう,どくげしょう,ノーマル,"キラースピン, マッドショット, ステルスロック, どくびし","132, 0, 124, 0, 0, 252",オオニューラ,レッドカード,いじっぱり,かるわざ,ゴースト,"インファイト, フェイタルクロー, シャドークロー, こらえる","28, 252, 4, 0, 4, 220",ディンルー,とつげきチョッキ,いじっぱり,わざわいのうつわ,はがね,"じしん, ヘビーボンバー, しっぺがえし, カタストロフィ","68, 156, 4, 0, 252, 28",ウーラオス(れんげき),こだわりハチマキ,いじっぱり,ふかしのこぶし,ほのお,"すいりゅうれんだ, アクアジェット, インファイト, とんぼがえり","60, 236, 204, 0, 4, 4"
88,1972.293,ファナ,https://ki-tashika.hatenablog.com/entry/2025/12/01/151024,ミライドン,とつげきチョッキ,ひかえめ,ハドロンエンジン,みず,"イナズマドライブ, りゅうせいぐん, テラバースト, ボルトチェンジ","252, 0, 44, 60, 4, 148",アルセウス,シルクのスカーフ,いじっぱり,マルチタイプ,ゴースト,"しんそく, シャドークロー, りゅうのまい, じこさいせい","188, 252, 0, 0, 0, 68",パオジアン,きあいのタスキ,ようき,わざわいのつるぎ,ゴースト,"つららおとし, せいなるつるぎ, こおりのつぶて, ぜったいれいど","0, 252, 4, 0, 0, 252",テツノワダチ,こだわりスカーフ,ようき,クォークチャージ,ノーマル,"じしん, アイアンヘッド, はたきおとす, アイススピナー","108, 204, 4, 0, 44, 148",キラフロル,エレキシード,ずぶとい,どくげしょう,フェアリー,"パワージェム, マッドショット, キラースピン, ニードルガード","252, 0, 252, 0, 0, 4",グライオン,どくどくだま,ようき,ポイズンヒール,あく,"はたきおとす, ちょうはつ, まもる, みがわり","212, 0, 0, 0, 44, 252"
90,1971.211,征け,https://patrick-pory2.hatenablog.com/entry/2025/12/02/152902,ミライドン,こだわりスカーフ,ひかえめ,ハドロンエンジン,ゴースト,"イナズマドライブ, りゅうせいぐん, テラバースト, ボルトチェンジ","236, 0, 4, 252, 4, 12",アルセウス,たべのこし,いじっぱり,マルチタイプ,ほのお,"しんそく, じしん, つるぎのまい, じこさいせい","252, 156, 28, 0, 60, 12",ランドロス(れいじゅう),ゴツゴツメット,のんき,いかく,みず,"じしん, とんぼがえり, ステルスロック, ちょうはつ","252, 4, 252, 0, 0, 0",キラフロル,ふうせん,おくびょう,どくげしょう,あく,"パワージェム, だいちのちから, キラースピン, まきびし","132, 0, 12, 108, 4, 252",パオジアン,ラムのみ,ようき,わざわいのつるぎ,でんき,"つららおとし, テラバースト, ふいうち, つるぎのまい","0, 252, 4, 0, 0, 252",ウーラオス(れんげき),きあいのタスキ,いじっぱり,ふかしのこぶし,ステラ,"すいりゅうれんだ, インファイト, アクアジェット, つるぎのまい","0, 252, 52, 0, 0, 204"
94,1969.124,やとる,https://yatorukun.hatenablog.com/entry/2025/12/01/185029,バドレックス(こくば),こだわりメガネ,おくびょう,じんばいったい,フェアリー,"アストラルビット, サイコキネシス, エナジーボール, テラバースト","0, 0, 140, 116, 0, 252",コライドン,いかさまダイス,いじっぱり,ひひいろのこどう,ノーマル,"スケイルショット, アクセルブレイク, ちょうはつ, みがわり","0, 252, 0, 0, 0, 252",グライオン,どくどくだま,わんぱく,ポイズンヒール,フェアリー,"まもる, みがわり, どくどく, ちょうはつ","228, 0, 36, 0, 244, 0",ディンルー,とつげきチョッキ,いじっぱり,わざわいのうつわ,フェアリー,"じしん, カタストロフィ, テラバースト, じわれ","168, 76, 0, 0, 252, 12",ヘイラッシャ,たべのこし,わんぱく,てんねん,フェアリー,"ウェーブタックル, じわれ, まもる, ねむる","252, 0, 252, 0, 0, 0",キラフロル,レッドカード,ずぶとい,どくげしょう,ノーマル,"パワージェム, キラースピン, ステルスロック, こらえる","212, 0, 244, 0, 0, 52"
100,1966.426,あたか,https://ataka-dog.hatenablog.com/entry/2025/12/01/140402,バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,くさ,"アストラルビット,わるだくみ,くさむすび,アンコール","0, 0, 4, 252, 0, 252",アルセウス,シルクのスカーフ,いじっぱり,マルチタイプ,ノーマル,"しんそく,シャドークロー,すてみタックル,つるぎのまい","220, 252, 4, 0, 28, 4",ディンルー,こだわりハチマキ,いじっぱり,わざわいのうつわ,フェアリー,"じしん,ストーンエッジ,テラバースト,じごくづき","4, 236, 4, 0, 204, 60",ウーラオス(れんげき),こだわりスカーフ,いじっぱり,ふかしのこぶし,みず,"すいりゅうれんだ,アクアジェット,インファイト,アイススピナー","0, 252, 4, 0, 0, 252",オーロンゲ,ゴツゴツメット,おだやか,いたずらごころ,ゴースト,"ミストフィールド, リフレクター, イカサマ, でんじは","244, 0, 180, 0, 68, 12",キノガッサ,どくどくだま,ようき,ポイズンヒール,ノーマル,"キノコのほうし,みがわり,やどりぎのタネ,からげんき","204, 0, 52, 0, 0, 252"
131,1929.926,ものま,https://monoma-gallade.hatenablog.com/entry/2025/12/02/202201,エルレイド,イバンのみ,いじっぱり,きれあじ,はがね,"せいなるつるぎ, ちょうはつ, みちづれ, トリックルーム","252, 36, 0, 0, 0, 220",バドレックス(こくば),こだわりスカーフ,ひかえめ,じんばいったい,フェアリー,"アストラルビット, サイコキネシス, ドレインキッス, トリック","172, 0, 84, 92, 4, 156",ホウオウ,あつぞこブーツ,わんぱく,さいせいりょく,ノーマル,"せいなるほのお, まもる, ふきとばし, じこさいせい","252, 0, 220, 0, 0, 36",ウーラオス(いちげき),おんみつマント,いじっぱり,ふかしのこぶし,あく,"あんこくきょうだ, インファイト, ふいうち, つるぎのまい","124, 252, 60, 0, 0, 68",ヘイラッシャ,たべのこし,わんぱく,てんねん,フェアリー,"アクアブレイク, じしん, ねむる, まもる","0, 252, 252, 0, 4, 0",ドオー,くろいヘドロ,おだやか,ちょすい,あく,"ヘドロばくだん, どくびし, まもる, じこさいせい","252, 0, 124, 44, 84, 4"
139,1926.795,ナマクラ,https://note.com/mikage_f/n/n9a128ef3bf8f,アルセウス,せいれいプレート,おだやか,マルチタイプ,どく,"さばきのつぶて, ヘドロばくだん, でんじは, じこさいせい","252, 0, 0, 0, 252, 4",ルナアーラ,こだわりスカーフ,ひかえめ,ファントムガード,フェアリー,"シャドーレイ, ムーンフォース, トリック, つきのひかり","12, 0, 0, 244, 0, 252",ドオー,くろいヘドロ,なまいき,ちょすい,どく,"じこさいせい, どくどく, まもる, だいちのちから","252, 0, 100, 0, 156, 0",ヘイラッシャ,たべのこし,わんぱく,てんねん,はがね,"じわれ, ウェーブタックル, まもる, ねむる","252, 0, 228, 0, 0, 28",グライオン,どくどくだま,わんぱく,ポイズンヒール,フェアリー,"みがわり, まもる, どくどく, じしん","228, 4, 164, 0, 20, 92",アーマーガア,おんみつマント,ずぶとい,プレッシャー,ゴースト,"はねやすめ, ちょうはつ, きりばらい, ラスターカノン","252, 0, 252, 0, 4, 0"
158,1915.706,やさしい王樣,https://note.com/famous_ferret742/n/n63e2cc26a3b8,バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,ステラ,"アストラルビット, くさむすび, サイコショック, アンコール","0, 0, 4, 252, 0, 252",コライドン,いかさまダイス,ようき,ひひいろのこどう,ほのお,"フレアドライブ, スケイルショット, つるぎのまい, ニトロチャージ","0, 252, 0, 0, 4, 252",ヘイラッシャ,たべのこし,わんぱく,てんねん,フェアリー,"じわれ, まもる, ウェーブタックル, ねむる","252, 0, 252, 0, 0, 4",ディンルー,とつげきチョッキ,いじっぱり,わざわいのうつわ,くさ,"じしん, しっぺがえし, じわれ, ヘビーボンバー","68, 156, 4, 0, 252, 28",ドオー,くろいヘドロ,しんちょう,ちょすい,あく,"どくづき, じしん, じこさいせい, どくびし","252, 0, 4, 0, 252, 0",グライオン,どくどくだま,しんちょう,ポイズンヒール,はがね,"まもる, みがわり, どくどく, じしん","228, 0, 28, 0, 252, 0"
162,1912.984,あい,https://yinner06.hatenablog.com/entry/2025/12/01/120304,ミライドン,とつげきチョッキ,おくびょう,ハドロンエンジン,こおり,"イナズマドライブ, ボルトチェンジ, テラバースト, りゅうのはどう","0, 0, 4, 252, 0, 252",コライドン,こだわりハチマキ,ようき,ひひいろのこどう,ほのお,"けたぐり, スケイルショット, フレアドライブ, ニトロチャージ","0, 252, 4, 0, 0, 252",ハバタクカミ,きあいのタスキ,おくびょう,こだいかっせい,ステラ,"ムーンフォース, シャドーボール, ほろびのうた, まもる","0, 0, 4, 252, 0, 252",ヘイラッシャ,たべのこし,わんぱく,てんねん,くさ,"あくび, ウェーブタックル, じわれ, まもる","252, 4, 236, 0, 4, 12",ベトベトン,くろいヘドロ,しんちょう,どくしゅ,ひこう,"はたきおとす, どくどくのキバ, かげうち, まもる","252, 0, 4, 0, 252, 0",ラグラージ,オボンのみ,のんき,げきりゅう,フェアリー,"はたきおとす, クイックターン, ステルスロック, じしん","252, 0, 156, 0, 100, 0"
164,1912.187,こばちぇ,https://wakuwaku2020.fc2.net/blog-entry-13.html,グラードン,とつげきチョッキ,しんちょう,ひでり,フェアリー,"じしん, テラバースト, かみくだく, じわれ","0, 0, 0, 0, 0, 0",カイオーガ,こだわりスカーフ,おくびょう,あめふらし,フェアリー,"しおふき, れいとうビーム, テラバースト, ぜったいれいど","0, 0, 0, 0, 0, 0",ウーラオス(れんげき),こだわりハチマキ,わんぱく,ふかしのこぶし,フェアリー,"すいりゅうれんだ, インファイト, テラバースト, とんぼがえり","0, 0, 0, 0, 0, 0",チオンジェン,ゴツゴツメット,ずぶとい,わざわいのおふだ,あく,"イカサマ, カタストロフィ, ちょうはつ, やどりぎのタネ","0, 0, 0, 0, 0, 0",ランドロス(けしん),きあいのタスキ,いじっぱり,すなのちから,こおり,"じしん, テラバースト, ストーンエッジ, とんぼがえり","0, 0, 0, 0, 0, 0",ボーマンダ,するどいくちばし,いじっぱり,いかく,ノーマル,"ダブルウイング, じしん, ストーンエッジ, りゅうのまい","0, 0, 0, 0, 0, 0"
